iter	Logloss
0	0.5614451987
1	0.4510428152
2	0.3717321938
3	0.3217245497
4	0.28545355
5	0.2552104523
6	0.2323496128
7	0.2089566275
8	0.1964755728
9	0.1764597276
10	0.1656969291
11	0.1541225347
12	0.1455077713
13	0.1368501049
14	0.1298822157
15	0.1227937451
16	0.1174082425
17	0.1122987315
18	0.1090090882
19	0.1067373651
20	0.1044243733
21	0.1018640442
22	0.09943483156
23	0.09699605774
24	0.09468552267
25	0.0923561671
26	0.08970201115
27	0.08794908193
28	0.08614485543
29	0.0838401272
30	0.08239365515
31	0.08054994963
32	0.07914445017
33	0.07769174934
34	0.07605312175
35	0.07520079461
36	0.07380240668
37	0.07269083492
38	0.07176933239
39	0.07078704523
40	0.07030971114
41	0.06898640978
42	0.06813141578
43	0.06709798365
44	0.06597584656
45	0.06536902977
46	0.06465070866
47	0.06396279647
48	0.06303381235
49	0.06236844001
50	0.06169232759
51	0.06103397071
52	0.06000639208
53	0.05888357299
54	0.05799950467
55	0.05698356471
56	0.05621434728
57	0.05578158457
58	0.0553470597
59	0.05482178037
60	0.0544344203
61	0.0539437531
62	0.05316586212
63	0.05250679036
64	0.05196358779
65	0.05144853253
66	0.05089586134
67	0.05056839987
68	0.05021878819
69	0.04978386506
70	0.04925352088
71	0.04877962883
72	0.04800952572
73	0.04754684392
74	0.04715757135
75	0.04679026614
76	0.04653905901
77	0.04637405067
78	0.04576247974
79	0.04516846598
80	0.04493386277
81	0.04451671395
82	0.04412394876
83	0.04388827213
84	0.04344298642
85	0.04295148282
86	0.04271040615
87	0.04242130774
88	0.04214648932
89	0.04176629606
90	0.04134068803
91	0.04102890506
92	0.04061235177
93	0.04037466885
94	0.04022805131
95	0.03994093779
96	0.03950621174
97	0.03924351716
98	0.03877154447
99	0.03863229869
100	0.0382521572
101	0.0379101539
102	0.03773403543
103	0.03738845358
104	0.03707646129
105	0.03670923709
106	0.03640742284
107	0.03629652097
108	0.03612927915
109	0.03575945854
110	0.03560584021
111	0.0352418491
112	0.03492409576
113	0.03480372321
114	0.03468302879
115	0.0344055717
116	0.03422749549
117	0.03409575327
118	0.03389228374
119	0.03374246001
120	0.03356207208
121	0.03343563887
122	0.03306764009
123	0.03279112793
124	0.0326901551
125	0.03243835804
126	0.03205751963
127	0.03187467199
128	0.03168062403
129	0.03145394996
130	0.0312501076
131	0.03114997367
132	0.03102089774
133	0.03085770763
134	0.03071005034
135	0.03052038318
136	0.030364147
137	0.03021367852
138	0.03002766973
139	0.02986103152
140	0.0296435315
141	0.02944845554
142	0.02934512569
143	0.02914322848
144	0.02902350887
145	0.02884476901
146	0.02865163731
147	0.02858256577
148	0.02847264107
149	0.02831943701
150	0.02816140024
151	0.02800725821
152	0.0278174134
153	0.02765032786
154	0.02746386793
155	0.02724551992
156	0.02703476553
157	0.02685810992
158	0.02670601021
159	0.02654236965
160	0.02632140761
161	0.02620785267
162	0.02606014691
163	0.02591621021
164	0.02583700224
165	0.02566569222
166	0.02556678716
167	0.02543190966
168	0.02527995712
169	0.02513578627
170	0.02496512582
171	0.02483678822
172	0.02463783499
173	0.02450825605
174	0.02441900328
175	0.02430453746
176	0.0242131354
177	0.02405633123
178	0.0238766518
179	0.02377238578
180	0.02360757701
181	0.02348346952
182	0.02338359016
183	0.02323810289
184	0.02302979893
185	0.02283232712
186	0.02274374605
187	0.02258719329
188	0.02250359773
189	0.02240976228
190	0.02221382974
191	0.02203214632
192	0.02191341226
193	0.02179814659
194	0.02162219245
195	0.02156062659
196	0.02146014027
197	0.02134655298
198	0.02119999568
199	0.02110618676
200	0.02102928207
201	0.02092640491
202	0.0208286613
203	0.02072763446
204	0.02064146831
205	0.02048162408
206	0.02034040666
207	0.02025705861
208	0.02016318393
209	0.02003422056
210	0.01990408902
211	0.01976357019
212	0.01964713087
213	0.01958667937
214	0.01945164478
215	0.01939640268
216	0.01935174121
217	0.01924829871
218	0.01918854241
219	0.01912400458
220	0.01896231238
221	0.01889445436
222	0.01884671389
223	0.01878900256
224	0.0186835077
225	0.01859223263
226	0.01851975343
227	0.01842833502
228	0.01838823926
229	0.01829294125
230	0.01819642877
231	0.01814413076
232	0.01810596893
233	0.01799919022
234	0.01791095505
235	0.01784947223
236	0.01776276339
237	0.01772291524
238	0.01765985052
239	0.01759365259
240	0.01753108001
241	0.01744592932
242	0.01738628081
243	0.01729885774
244	0.01721499423
245	0.01711791524
246	0.01709183995
247	0.017008256
248	0.0169343619
249	0.01687475228
250	0.01678712902
251	0.0167278712
252	0.01663987072
253	0.01656722703
254	0.01648406845
255	0.01641162468
256	0.01633285342
257	0.01623194701
258	0.01616473118
259	0.01608788778
260	0.01606339662
261	0.01601417401
262	0.01597413562
263	0.01590839529
264	0.01584144271
265	0.01577885892
266	0.01569190336
267	0.01561598255
268	0.01557474032
269	0.01549084879
270	0.01542247808
271	0.01536557109
272	0.01529605295
273	0.0152344917
274	0.01517838876
275	0.01513849403
276	0.01507867517
277	0.01498535089
278	0.01490391309
279	0.01487226092
280	0.01481888237
281	0.01476893054
282	0.01471180004
283	0.01468777953
284	0.0146399068
285	0.01459106575
286	0.0144956874
287	0.01442407115
288	0.01436258409
289	0.01431021552
290	0.01427773438
291	0.01425803429
292	0.01420048589
293	0.01416648819
294	0.01412372322
295	0.01406992327
296	0.0140415797
297	0.01398490826
298	0.01392126236
299	0.01386494593
300	0.01378620534
301	0.01372071144
302	0.01367488009
303	0.01363837665
304	0.01356337407
305	0.01351530804
306	0.01345067634
307	0.01340952451
308	0.01336669376
309	0.01330131793
310	0.01326322702
311	0.0132404294
312	0.01321445108
313	0.01316780531
314	0.01312667533
315	0.01308408994
316	0.01301057593
317	0.01297746128
318	0.01293249823
319	0.012899075
320	0.01287334868
