Block Height,,Hook Load,,WOB,,Torque,,Flow In,,Pump Pressure,,ROP,,RPM,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1289.909999998972,95.45279985596972,1291.2699999989707,450.43851914888694,1290.1899999989716,1.3471236796207222,1291.2099999989707,0.9735455827438173,1290.5599999989713,8.082946370772788,1290.3699999989715,350.84540535722954,1290.1419586500392,-0.17148386740152688,1275.3499999989851,80.83353394050528
1289.919999998972,95.45367718500844,1291.2799999989707,450.4022932195003,1290.1999999989716,1.3343107898728306,1291.2199999989707,0.9684053418362808,1290.5699999989713,7.932069013289492,1290.3799999989715,351.1608824279392,1290.275135574682,-0.17168372672237098,1275.3599999989851,80.35084275883992
1289.9299999989719,95.4544977347671,1291.2899999989706,450.3680317771889,1290.2099999989716,1.321639153366931,1291.2299999989707,0.9633074250688196,1290.5799999989713,7.798042450603589,1290.3899999989715,351.46059707605855,1290.408312499325,-0.17188358604321863,1275.3699999989851,79.86522293953931
1289.9399999989719,95.45523094724982,1291.2999999989706,450.33698385334037,1290.2199999989716,1.3092004456989343,1291.2399999989707,0.9582885901553766,1290.5899999989713,7.694938736274253,1290.3999999989715,351.73366927885945,1290.5414894239677,-0.17208344536406273,1275.379999998985,79.37518672618216
1289.9499999989719,95.45584626446046,1291.3099999989706,450.3103984793422,1290.2299999989716,1.297086342464695,1291.2499999989707,0.9533855948098875,1290.5999999989713,7.63682992386066,1290.4099999989714,351.96921901361384,1290.6746663486106,-0.17228330468490682,1275.389999998985,78.87924636234766
1289.9599999989719,95.4563131284032,1291.3199999989706,450.2895246865819,1290.2399999989716,1.2853885192600103,1291.2599999989707,0.9486351967462667,1290.6099999989713,7.637788066922894,1290.4199999989714,352.15636625758634,1290.8078432732532,-0.17248316400575092,1275.399999998985,78.37591409161314
1289.9699999989718,95.456600981082,1291.3299999989706,450.2756115064466,1290.2499999989716,1.2741986516807629,1291.2699999989707,0.9440741536784927,1290.6199999989713,7.711885219019678,1290.4299999989714,352.2842309880616,1290.941020197896,-0.17268302332659857,1275.409999998985,77.86370215755778
1289.9799999989718,95.45667926450096,1291.3399999989706,450.26990797032454,1290.2599999989716,1.2636084153228353,1291.2799999989707,0.9397392233204656,1290.6299999989712,7.8731934337124585,1290.4399999989714,352.3419331823043,1291.0741971225389,-0.17288288264744267,1275.419999998985,77.34112280375984
1289.9899999989718,95.45651742066406,1291.3499999989706,450.2736631096027,1290.2699999989716,1.253709485782025,1291.2899999989706,0.9356671633861424,1290.6399999989712,8.135784764559503,1290.4499999989714,352.3185928175808,1291.2073740471817,-0.17308274196828677,1275.429999998985,76.80668827379759
1289.9999999989718,95.4560848915753,1291.3599999989706,450.28812595566853,1290.2799999989716,1.2445935386542146,1291.2999999989706,0.931894731589459,1290.6499999989712,8.513731265120896,1290.4599999989714,352.2033298711722,1291.3405509718245,-0.17328260128913442,1275.439999998985,76.25891081124973
1290.0099999989718,95.45535111923877,1291.3699999989706,450.3145455399101,1290.2899999989716,1.2363522495352584,1291.3099999989706,0.928458685644344,1290.6599999989712,9.021104988955813,1290.4699999989714,351.9852643203467,1291.4737278964672,-0.17348246060997852,1275.449999998985,75.696302659695
1290.0199999989718,95.45428554565851,1291.3799999989706,450.35417089371435,1290.2999999989715,1.229077294020982,1291.3199999989706,0.9253957832647401,1290.6699999989712,9.671977989624793,1290.4799999989714,351.65351614237443,1291.60690482111,-0.17368231993082262,1275.459999998985,75.11737606271163
1290.0299999989718,95.45285761283853,1291.3899999989706,450.4082510484691,1290.3099999989715,1.2228603477072681,1291.3299999989706,0.9227427821645904,1290.6799999989712,10.480422320687012,1290.4899999989714,351.1972053145255,1291.7400817457528,-0.1738821792516667,1275.469999998985,74.5206432638779
1290.0399999989718,95.45104093028417,1291.3999999989705,450.47802550150516,1290.3199999989715,1.2177928411587686,1291.3399999989706,0.9205364400578091,1290.6899999989712,11.460510035701645,1290.4999999989714,350.60547441277595,1291.8732586703957,-0.17408203857251436,1275.479999998985,73.90461650677207
1290.0499999989718,95.44889864000419,1291.4099999989705,450.5634774353199,1290.3299999989715,1.2139083632370102,1291.3499999989706,0.9188057548206388,1290.6999999989712,12.620082536699101,1290.5099999989714,349.8780382870027,1292.0064355950385,-0.17428189789335846,1275.489999998985,73.26780803497377
1290.0599999989718,95.44658004007667,1291.4199999989705,450.6620927996066,1290.3399999989715,1.2111084276363329,1291.3599999989706,0.9175265152172258,1290.7099999989712,13.935930775570796,1290.5199999989713,349.0419954161407,1292.1396125196811,-0.17448175721420256,1275.499999998985,72.60916053133587
1290.0699999989718,95.44423792048153,1291.4299999989705,450.77106246842527,1290.3499999989715,1.2092761993688441,1291.3699999989706,0.9166521907031466,1290.7199999989712,15.375192150916519,1290.5299999989713,348.12881952463795,1292.272789444324,-0.17468161653504666,1275.509999998985,71.93034234888273
1290.0799999989717,95.4420250711986,1291.4399999989705,450.8875773158362,1290.3599999989715,1.2082948434465095,1291.3799999989706,0.9161361743647092,1290.7299999989712,16.905001011280547,1290.5399999989713,347.1699843369297,1292.4059663689668,-0.1748814758558943,1275.519999998985,71.23408553468198
1290.0899999989717,95.4400942822077,1291.4499999989705,451.0088282159004,1290.3699999989715,1.2080475248814082,1291.3899999989706,0.9159318592882073,1290.7399999989711,18.49249170520352,1290.5499999989713,346.19696357745306,1292.5391432936096,-0.1750813351767384,1275.529999998985,70.5231245649693
