Time,Block Height,Hook Load,WOB,Torque,Flow In,Pump Pressure,RPM,ROP,Evento
2014-01-13 00:59:45,28.423354682644874,143.20964003227775,9.763900502444006,2.9470050506063794,0.0,0.0,12.109096940785463,1.7677248214484618,Evento 8
2014-01-13 00:59:48,27.21036132171116,141.6813277957193,9.557214805814146,3.1135245086312326,0.0,0.0,11.871672340579387,1.728150733390826,Evento 8
2014-01-13 00:59:51,26.74505815527089,142.78941050907537,9.541627776957908,3.3148283627657653,0.0,0.0,11.483832787436018,1.6534346960475053,Evento 8
2014-01-13 00:59:54,24.947767758901215,141.55626373998683,9.372881104354528,3.5401451595660554,0.0,0.0,10.889068461922406,1.5888165381392214,Evento 8
2014-01-13 00:59:57,23.135211508102486,140.1418366201357,9.205839285931484,3.763981638019094,0.0,0.0,10.021430217095576,1.513588381773525,Evento 8
2014-01-13 01:00:00,21.770891807320055,137.79454872359167,9.124822350262528,3.9645228105490062,0.0,0.0,9.146524288498052,1.4457654144324368,Evento 8
2014-01-13 01:00:03,20.863829322828206,134.07457083334094,8.844939679818047,4.137467404649988,0.0,0.0,8.817462325829588,1.4101304425604315,Evento 8
2014-01-13 01:00:06,20.731876449371345,129.9812620613346,8.324011973686527,4.287508671887618,0.0,0.0,8.525711050790203,1.3447133009188177,Evento 8
2014-01-13 01:00:09,19.64048632153644,120.68986794675666,8.089247291200218,4.418174858466407,0.0,0.0,7.674616565571147,1.2912380296069093,Evento 8
2014-01-13 01:00:12,19.208016719951733,112.78516711377472,7.795266680237354,4.520103415773906,0.0,0.0,6.393042579551038,1.2271654443316098,Evento 8
2014-01-13 01:00:15,18.896075805433306,108.75087270654448,7.723494903277825,4.574103767633442,0.0,0.0,5.303729437340861,1.166245397222542,Evento 8
2014-01-13 01:00:18,17.360354212836352,101.76416045960812,7.365076075245985,4.570693157853784,0.0,0.0,5.0169952631871055,1.1143292964816616,Evento 8
2014-01-13 01:00:21,16.94114804007848,98.70214475778047,6.660378311164583,4.516740069026533,0.0,0.0,4.801133500529723,1.0565418082991582,Evento 8
2014-01-13 01:00:24,16.341057479547935,92.1991554423865,6.522256532594705,4.431878934455055,0.0,0.0,4.299605560045818,0.9912556003723912,Evento 8
2014-01-13 01:00:27,14.943888638301647,86.04550483037067,5.833548568960944,4.326265299167603,0.0,0.0,3.965161696584668,0.9425787848685813,Evento 8
2014-01-13 01:00:30,13.047269521358208,76.57809368298263,5.200069170864367,4.199640365999089,0.0,0.0,3.0706872684812128,0.8981840779858199,Evento 8
2014-01-13 01:00:33,11.760234668608538,71.72949424995605,4.199330680612296,4.052356049572951,0.0,0.0,3.075712840828746,0.8514622078518579,Evento 8
2014-01-13 01:00:36,10.191902241607636,66.58571286547208,2.9885219046776794,3.8828044767051777,0.0,0.0,3.0946961864421203,0.8036103955562958,Evento 8
2014-01-13 01:00:39,10.21846105200776,66.5534364115635,2.8129752100773766,3.6935153554443803,0.0,0.0,3.0889823714265097,0.7986105211343335,Evento 8
2014-01-13 01:00:42,10.086716464767022,66.54479902244228,2.629732674323394,3.489828710895137,0.0,0.0,3.011800871283458,0.7813701099813016,Evento 8
2014-01-13 01:00:45,9.550667874321684,66.54772900121887,2.2935306744153983,3.2741200525846943,0.0,0.0,2.9204865627159373,0.7645868517098844,Evento 8
2014-01-13 01:00:48,9.498239569165447,66.54900421958607,2.19890271797625,3.03130857757722,0.0,0.0,2.8170127416425794,0.748296755414833,Evento 8
2014-01-13 01:00:51,9.476942892635016,66.54814036967215,2.0724430838836416,2.7547187046409354,0.0,0.0,2.6799642370235235,0.7426029508895153,Evento 8
2014-01-13 01:00:54,9.482691928794877,66.54795109674258,2.0429736021419656,2.4528165350237687,0.0,0.0,2.5108976991815006,0.7379233947891157,Evento 8
2014-01-13 01:00:57,9.488920321725375,66.54818225490018,2.0135041203746322,2.14885199774056,0.0,0.0,2.3551662199866223,0.7339034323778515,Evento 8
2014-01-13 01:01:00,9.494347298837935,66.54819642435034,1.9842149165336327,1.8644394796712465,0.0,0.0,2.2794701107149105,0.7372673787777803,Evento 8
2014-01-13 01:01:03,9.500321362449949,66.54813912535721,1.952912552972787,1.603153925365476,0.0,0.0,2.30906625017285,0.7359581810193432,Evento 8
2014-01-13 01:01:06,9.505637415663385,66.54814341489315,1.9222152662110688,1.360256780595877,0.0,0.0,2.4272174568866465,0.7393221274192718,Evento 8
2014-01-13 01:01:09,9.509019655805245,66.54815662051642,1.8896818320708462,1.1333534275826749,0.0,0.0,2.5974544903953984,0.736879270431389,Evento 8
2014-01-13 01:01:12,9.512949264877406,66.54815384604845,1.8539554442185184,0.9329088811450316,0.0,0.0,2.7851684015266027,0.7402432168313178,Evento 8
2014-01-13 01:01:15,9.517398565278352,66.54815104057515,1.8182781506309822,0.781608374999049,0.0,0.0,2.9569017224219305,0.7405222756997982,Evento 8
2014-01-13 01:01:18,9.522326265718634,66.54815206875585,1.8141955081705006,0.6878781571346304,0.0,0.0,3.044459882611304,0.741077187465742,Evento 8
2014-01-13 01:01:21,9.52768082947837,66.54815260459495,1.8143966161016163,0.6407856709770312,0.0,0.0,3.0659088051920937,0.7413351055108526,Evento 8
2014-01-13 01:01:24,9.533396246069127,66.5481522901053,1.8229006515996904,0.62336803846558,0.0,0.0,3.06386523359165,0.742033263778882,Evento 8
2014-01-13 01:01:27,9.539379825760545,66.54815220395668,1.8237741989180845,0.6187450338782642,0.0,0.0,3.0700056106792135,0.7417367811548773,Evento 8
