Time,Block Height,Hook Load,WOB,Torque,Flow In,Pump Pressure,RPM,ROP,Evento,Pega
2014-03-14 09:23:36,41.84913908317968,291.0281405870267,1.2749349577551459,3.7855359891703926,133.7280996052685,2494.4816304003534,55.94069639312706,0.0,Evento 14,0
2014-03-14 09:23:39,42.70257613215712,285.70702273590956,1.2883976844608522,3.6163195450500027,130.6196982624835,2462.2727541335853,53.997851519337964,0.0,Evento 14,0
2014-03-14 09:23:42,43.34118515865804,290.5540269486395,1.2731572301904412,3.906365190312478,133.90912399053627,2502.2504145699845,57.97245601347328,0.0,Evento 14,0
2014-03-14 09:23:45,44.194622207635476,285.23290909752234,1.2866199568961474,3.737148746192087,130.80135118140592,2470.0415383032164,56.02961113968418,0.0,Evento 14,0
2014-03-14 09:23:48,44.83323123413641,290.0799133102523,1.2713795026257362,4.027194391454563,134.09014837580406,2510.0191987396156,60.00421563381949,0.0,Evento 14,0
2014-03-14 09:23:51,45.68666828311383,284.7587954591351,1.2848422293314425,3.8579779473341715,130.9830041003284,2477.8103224728475,58.061370760030385,0.0,Evento 14,0
2014-03-14 09:23:54,47.1787143585922,284.28468182074795,1.2830645017667377,3.978807148476257,131.16465701925088,2485.5791066424786,60.0931303803766,0.0,Evento 14,0
2014-03-14 09:23:57,47.1787143585922,284.28468182074795,1.2830645017667375,3.978807148476256,131.16465701925088,2485.579106642479,60.0931303803766,0.0,Evento 14,0
2014-03-14 09:24:00,48.670760434070566,283.8105681823607,1.2812867742020326,4.099636349618342,131.34630993817333,2493.34789081211,62.124890000722814,0.0,Evento 14,0
2014-03-14 09:24:03,48.670760434070566,283.8105681823607,1.2812867742020326,4.099636349618342,131.34630993817336,2493.34789081211,62.12489000072283,0.0,Evento 14,0
2014-03-14 09:24:06,50.16280650954893,283.33645454397356,1.2795090466373278,4.2204655507604265,131.52796285709582,2501.116674981741,64.15664962106902,0.0,Evento 14,0
2014-03-14 09:24:09,50.16280650954893,283.3364545439735,1.279509046637328,4.2204655507604265,131.52796285709584,2501.116674981741,64.15664962106902,0.0,Evento 14,0
2014-03-14 09:24:12,51.654852585027285,282.8623409055863,1.2777313190726232,4.341294751902511,131.70961577601832,2508.8854591513727,66.18840924141524,0.0,Evento 14,0
2014-03-14 09:24:15,51.654852585027285,282.86234090558634,1.2777313190726232,4.341294751902511,131.7096157760183,2508.8854591513727,66.18840924141524,0.0,Evento 14,0
2014-03-14 09:24:18,53.47237665543005,272.92917477867167,1.2974887279982512,4.142579399289378,131.95391478009716,2421.110317363223,63.78419966387246,0.0,Evento 14,0
2014-03-14 09:24:21,54.110985681930984,277.77617899140165,1.2822482737278402,4.432625044551854,135.23894077256722,2461.0879777996224,67.75880415800779,0.0,Evento 14,0
2014-03-14 09:24:24,54.77386076286486,276.86861854896637,1.2974090320168248,4.297832618443965,132.90252070804144,2460.146495447284,65.49396842800152,0.0,Evento 14,0
2014-03-14 09:24:27,55.41246978936579,281.7156227616963,1.2821685777464138,4.5878782637064415,136.18691816685683,2500.1241558836837,69.46857292213683,0.0,Evento 14,0
2014-03-14 09:24:30,56.06367699423155,280.8298248142877,1.2975046910193262,4.453345814304392,133.85112663598574,2499.1824053766613,67.20374533931475,0.0,Evento 14,0
2014-03-14 09:24:33,56.70228602073248,285.6768290270176,1.2822642367489152,4.743391459566867,137.13489556114644,2539.1600658130606,71.17834983345007,0.0,Evento 14,0
2014-03-14 09:24:36,56.957259341176,284.898151062573,1.2975946138759638,4.542835557229108,134.79973256393004,2538.218091843801,67.992450972475,0.0,Evento 14,0
2014-03-14 09:24:39,57.59586836767694,289.7451552753029,1.2823541596055528,4.832881202491583,138.08287295543602,2578.1957522802004,71.96705546661032,0.0,Evento 14,0
2014-03-14 09:24:42,56.61852943171878,289.3444765183912,1.2970958707053057,4.543933423475714,135.49775415124859,2572.947114980713,67.3030836583376,0.0,Evento 14,0
2014-03-14 09:24:45,57.25713845821971,294.1914807311212,1.281855416434895,4.83397906873819,138.78026600909993,2612.924775417113,71.2776881524729,0.0,Evento 14,0
2014-03-14 09:24:48,57.499119471931486,293.8636581276433,1.291412245070536,4.8347339103360305,138.12181415245536,2611.8693992204953,71.52885517516316,0.0,Evento 14,0
2014-03-14 09:24:51,57.57523027974391,298.70567945338973,1.277266635632482,5.126508958887694,141.40369747665198,2651.22627379018,75.4591895647039,0.0,Evento 14,0
2014-03-14 09:24:54,57.124783288407535,298.5405596435708,1.281435196244741,5.128462440087499,139.6845820789734,2651.218810151468,74.53211521091879,0.0,Evento 14,0
2014-03-14 09:24:57,57.58455469353006,303.211468724822,1.2721877805947426,5.419556972054336,142.96583686951536,2690.143373706066,78.61610476405255,0.0,Evento 14,0
2014-03-14 09:25:00,56.87741772955754,303.04807900594335,1.276295635917649,5.41960743274097,142.89745106934208,2690.762595337122,77.60758601467532,0.0,Evento 14,0
2014-03-14 09:25:03,56.830235078735846,307.7314611333014,1.2632737790958921,5.709391413246751,146.17807732622936,2730.0572706505272,80.57335623392383,0.0,Evento 14,0
2014-03-14 09:25:06,56.25160497315369,307.7312416893774,1.2635132898607624,5.708805603884798,146.155072994468,2730.6767157438208,80.57335623475494,0.0,Evento 14,0
2014-03-14 09:25:09,56.200833669063954,312.56470698790815,1.248075209077753,5.997932522021912,149.4350707177006,2770.468001873619,84.5479607297098,0.0,Evento 14,0
2014-03-14 09:25:12,55.971358670792156,312.6223780342383,1.2476804580235434,5.996675349978776,149.41935737633355,2771.0876704291486,84.54796073082505,0.0,Evento 14,0
